Date,Issue,Code,Sector,Component Weight (TOPIX),New Index Series Code
20250331,"ASICS Corporation",7936,"Other Products",0.2966%,TOPIX Mid400
20250331,"TSUTSUMI JEWELRY CO.,LTD.",7937,"Other Products",0.0014%,TOPIX Small 2
20250331,"JSP Corporation",7942,"Chemicals",0.0045%,TOPIX Small 2
20250331,"NICHIHA CORPORATION",7943,"Glass & Ceramics Products",0.0099%,TOPIX Small 1
20250331,"Roland Corporation",7944,"Other Products",0.0073%,TOPIX Small 1
20250331,"FP CORPORATION",7947,"Chemicals",0.0165%,TOPIX Small 1
20250331,"KOMATSU WALL INDUSTRY CO.,LTD.",7949,"Other Products",0.0026%,TOPIX Small 2
20250331,"YAMAHA CORPORATION",7951,"Other Products",0.0546%,TOPIX Mid400
20250331,"Kawai Musical Instruments Manufacturing Co.,Ltd.",7952,"Other Products",0.0023%,TOPIX Small 2
20250331,"Cleanup Corporation",7955,"Other Products",0.0017%,TOPIX Small 2
20250331,"PIGEON CORPORATION",7956,"Other Products",0.0309%,TOPIX Mid400
20250331,"TENMA CORPORATION",7958,"Chemicals",0.0079%,TOPIX Small 2
20250331,"KING JIM CO.,LTD.",7962,"Other Products",0.0020%,TOPIX Small 2
20250331,"Zojirushi Corporation",7965,"Electric Appliances",0.0118%,TOPIX Small 1
20250331,"LINTEC Corporation",7966,"Other Products",0.0138%,TOPIX Small 1
20250331,"Shin-Etsu Polymer Co.,Ltd.",7970,"Chemicals",0.0086%,TOPIX Small 1
20250331,"ITOKI CORPORATION",7972,"Other Products",0.0087%,TOPIX Small 1
20250331,"Nintendo Co.,Ltd.",7974,"Other Products",1.6861%,TOPIX Core30
20250331,"MITSUBISHI PENCIL COMPANY,LIMITED",7976,"Other Products",0.0092%,TOPIX Small 1
20250331,"SHOFU INC.",7979,"Precision Instruments",0.0056%,TOPIX Small 2
20250331,"TAKARA STANDARD CO.,LTD.",7981,"Other Products",0.0107%,TOPIX Small 1
20250331,"KOKUYO CO.,LTD.",7984,"Other Products",0.0359%,TOPIX Mid400
20250331,"NAKABAYASHI CO.,LTD.",7987,"Other Products",0.0015%,TOPIX Small 2
20250331,"NIFCO INC.",7988,"Chemicals",0.0355%,TOPIX Mid400
20250331,"TACHIKAWA CORPORATION",7989,"Metal Products",0.0019%,TOPIX Small 2
20250331,"GLOBERIDE,Inc.",7990,"Other Products",0.0050%,TOPIX Small 1
20250331,"OKAMURA CORPORATION",7994,"Other Products",0.0156%,TOPIX Small 1
20250331,"VALQUA,LTD.",7995,"Chemicals",0.0063%,TOPIX Small 1
20250331,"ITOCHU Corporation",8001,"Wholesale Trade",1.2965%,TOPIX Core30
